"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","COMP_ACTION_ID","ENVIRONMENTAL_IMPACT_ID","SEP_ID","POLLUTANT_CODE","POLLUTANT_NAME","AVERAGE_ANNUAL_VALUE","POLLUTANT_UNIT_CODE","MEDIA_CODE","MEDIA_DESC","SEP_OR_COMP_FLAG"
"3603476239","02-2023-3009","3600365836","3600060414","3600045059",,"5889",,"90","lbs","SWT","Water (navigable/surface)","C"
"3603481515","06-2023-1710","3600366147","3600060423","3600045073",,"11376",,"2400","PNDSYR","SWT","Water (navigable/surface)","C"
"3603485621","02-2023-1214","3600366293","3600060592","3600045155",,"10305",,"3051","PNDSYR","AIR","Air","C"
"3603486357","02-2023-3305","3600368177","3600061452","3600046030",,"375",,"50","PNDSYR","SWT","Water (navigable/surface)","C"
"3603489177","06-2023-1101","3600381358","3600062138","3600046643",,"6596",,"1","WELLS","WSU","Water (underground source)","C"
"3603500242","10-2023-0034","3600397648","3600063988","3600048143",,"2856",,"83000","gal","SWT","Water (navigable/surface)","C"
"3603500250","10-2023-0023","3600367568","3600061172","3600045716",,"12108",,"1300","PPL","DWT","Water (drinking)","C"
"3603502487","02-2023-3015","3600366742","3600060754","3600045296",,"10486",,"411","PNDSYR","SWT","Water (navigable/surface)","C"
"3603508988","04-2023-1235","3600366870","3600060810","3600045334",,"6662",,"0","lbs","LAN","Land","C"
"3603510180","02-2023-7907","3600366931","3600060828","3600045354",,"7659",,"24000","gal","LAN","Land","C"
"3603510466","09-2023-4335","3600366954","3600060848","3600045374",,"6662",,"11737","lbs","LAN","Land","C"
"3603515387","02-2023-5037","3600367073","3600060937","3600045438",,"6662",,"5478","lbs","LAN","Land","C"
"3603516654","02-2023-3106","3600367161","3600060954","3600045474",,"6352",,"4","PNDSYR","SWT","Water (navigable/surface)","C"
"3603519693","06-2023-2702","3600367225","3600060989","3600045515",,"6580",,"20.3","ACRS","WTL","Water (wetlands)","C"
"3603523806","05-2023-1011","3600373315","3600065078","3600048923",,"12108",,"19156","PPL","DWT","Water (drinking)","C"
"3603528302","05-2023-0313","3600367563","3600064239","3600048324",,"10107",,"218","PNDSYR","SWT","Water (navigable/surface)","C"
"3603530751","10-2023-0032","3600367671","3600061191","3600045735",,"375",,"40000","lbs","AIR","Air","C"
"3603533726","09-2023-4345","3600367813","3600061241","3600045820",,"6662",,"6206","lbs","LAN","Land","C"
"3603533786","09-2023-4349","3600367825","3600061245","3600045824",,"6662",,"99","lbs","LAN","Land","C"
"3603535510","08-2023-0037","3600367899","3600061270","3600045835",,"1165",,"15.3","PNDSYR","SWT","Water (navigable/surface)","C"
"3603536240","02-2023-3012","3600367916","3600061289","3600045854",,"10486",,"1","PNDSYR","SWT","Water (navigable/surface)","C"
"3603538162","09-2023-4463","3600367991","3600061321","3600045886",,"6662",,"9","lbs","LAN","Land","C"
"3603538181","09-2023-4470","3600367999","3600061329","3600045894",,"6662",,"22","lbs","LAN","Land","C"
"3603538184","09-2023-4471","3600368001","3600061330","3600045895",,"6662",,"9","lbs","LAN","Land","C"
"3603538520","07-2023-0051","3600368035","3600064301","3600048368",,"7659",,"110","lbs","LAN","Land","C"
"3603538684","09-2023-4370","3600368066","3600061364","3600045928",,"6662",,"48","lbs","LAN","Land","C"
"3603538716","09-2023-4378","3600368076","3600061373","3600045939",,"6662",,"15","lbs","LAN","Land","C"
"3603538837","09-2023-4181","3600368081","3600061376","3600045942",,"6662",,"15","lbs","LAN","Land","C"
"3603538890","09-2023-4396","3600368097","3600061391","3600045957",,"6662",,"15","lbs","LAN","Land","C"
"3603538896","09-2023-4397","3600368098","3600061392","3600045958",,"6662",,"15","lbs","LAN","Land","C"
"3603538959","09-2023-4417","3600368112","3600061404","3600045969",,"6662",,"15","lbs","LAN","Land","C"
"3603539095","09-2023-4431","3600368127","3600061417","3600045982",,"6662",,"15","lbs","LAN","Land","C"
"3603539105","09-2023-4433","3600368129","3600061419","3600045984",,"6662",,"15","lbs","LAN","Land","C"
"3603539110","09-2023-4435","3600368131","3600061421","3600045986",,"6662",,"15","lbs","LAN","Land","C"
"3603539213","09-2023-4440","3600368139","3600061426","3600045991",,"6662",,"15","lbs","LAN","Land","C"
"3603539236","09-2023-4447","3600368146","3600061433","3600045998",,"6662",,"15","lbs","LAN","Land","C"
"3603539695","02-2023-3501","3600368174","3600061446","3600046025",,"6598",,".89","ACRS","WTL","Water (wetlands)","C"
"3603541135","07-2022-6060","3600368229","3600061488","3600046049",,"10364",,"41850","gal","SWT","Water (navigable/surface)","C"
"3603546021","10-2023-0029","3600372444","3600061521","3600046086",,"375",,"21000","lbs","AIR","Air","C"
"3603551654","07-2022-0130","3600372614","3600061618","3600046183",,"12132",,"9300","gal","SWT","Water (navigable/surface)","C"
"3603551704","05-2023-0025","3600372619","3600065189","3600049003",,"6727",,"0","lbs","LAN","Land","C"
"3603552946","02-2023-5004","3600372680","3600061644","3600046205",,"6727",,"28.2","lbs","LAN","Land","C"
