"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","COMP_ACTION_ID","ENVIRONMENTAL_IMPACT_ID","SEP_ID","POLLUTANT_CODE","POLLUTANT_NAME","AVERAGE_ANNUAL_VALUE","POLLUTANT_UNIT_CODE","MEDIA_CODE","MEDIA_DESC","SEP_OR_COMP_FLAG"
"325","01-1995-0019","292","2600801060","53",,"680","BOD","220","lbs","WAT","Water","C"
"331","01-1995-0025","298","2600803533","61",,"3189","PCBS","1320","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"351","01-1995-0045","318","2600802111","81",,"3189","PCBS","1000","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"412","01-1995-0110","378","2600805244","135",,"261","ACETONE","170000","ppb","GWT","Water (ground)","C"
"724","01-1997-0167","678","2600801711","278",,"3189","PCBS","500","yd3","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"995","01-1999-0002","934","2600801088","425",,"955","CFC (CHLOROFLUOROCARBONS)","175","lbs","AIR","Air","C"
"1152","01-1999-0166","1077","2600802317","511",,"6296","VOCS","23","tons","AIR","Air","C"
"1206","01-2000-0008","45010","2600812326","16128",,"955",,"500","LBS/YR","AIR","Air","C"
"1624","01-2001-0178","1463","2600801391","670",,"2741","NICKEL","277","lbs","WAT","Water","C"
"1624","01-2001-0178","1463","2600801391","673",,"6352","ZINC","145","lbs","WAT","Water","C"
"1632","01-2001-0187","2200000681","2600822050","2200000441",,"6725",,"28000","yd3","SIL","Soil","C"
"1654","01-2002-0016","1483","2600815725","29022",,"7214",,"876","gal","SIL","Soil","C"
"1654","01-2002-0016","1483","2600815725","29025",,"6723",,"876","gal","SIL","Soil","C"
"4764","02-1993-0128","3679","2600802298","765",,"67","1,1,1-TRICHLOROETHANE","13400","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"4841","02-1993-0213","3752","2600800330","773",,"88","1,1,4 TRICHLOROETHANE","13680","lbs","AIR","Air","C"
"5130","02-1994-0227","3000004285","3000009662","3000006727",,"6725",,"20000","yd3","SIL","Soil","C"
"5283","02-1995-0078","4109","2600802493","826",,"3256","PETROLEUM","10000","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5300","02-1995-0096","4126","2600800366","834",,"3173","PCB","200","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5356","02-1995-0156","4183","2600800373","851",,"2787","NITRIC ACID","397408","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5360","02-1995-0160","4187","2600800374","856",,"3189","PCBS","76000","kg","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"5365","02-1995-0165","4192","2600800375","860",,"3173","PCB","534","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5439","02-1995-0240","4264","2600800378","867",,"603","BENZENE","600000","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"5501","02-1995-0305","4324","2600802117","884",,"2448","MERCURY",,"kg","SLG","Sludge Lagoon","C"
"5523","02-1995-0327","4346","2600800069","907",,"6259","TYCOLETHERS","5","lbs","AIR","Air","C"
"5651","02-1996-0047","4466","2600800084","948",,"2566","METHYLENE CHLORIDE","1000","lbs","AIR","Air","C"
"5727","02-1996-0123","4542","2600802917","1004",,"2948","OIL AND GREASE (O & G)","15","ppm","WAT","Water","C"
"6157","02-1997-0248","4957","2600811625","1396",,"4432","USED OIL (TOTAL PETROLEUM HC) (<1000 PPM)","999","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"6493","02-1998-0140","5283","2600801791","1498",,"5883","PHOSPHORIC ACID","500","lbs","WAT","Water","C"
"6596","02-1998-0246","5385","2600802835","1510",,"1288","CUMENE","33116","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"6638","02-1998-0288","5429","2600802851","1547",,"6161","TOLUENE","10","ppb","WAT","Water","C"
"6704","02-1998-0354","600006913","2600814410","600005841",,"6614",,"7635570","yd3","GWT","Water (ground)","C"
"6714","02-1998-0364","5500","2600802860","1563",,"6207","TRICHLOROETHENE (TCE)","2200","ppb","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"6980","02-1999-3030","5740","2600801719","1636",,"680","BOD",,"mg","WAT","Water","C"
"6980","02-1999-3030","5740","2600801719","1638",,"1165","COPPER",,"mg","WAT","Water","C"
"6982","02-1999-3033","5742","2600801720","1647",,"375","AMMONIA",,"mg","WAT","Water","C"
"7112","02-1999-4213","5872","2600808552","1725",,"5617","METHANOL","2760","lbs","AIR","Air","C"
"7148","02-1999-7912","5907","2600801897","1737",,"1693","F/OIL","31850","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"7148","02-1999-7912","5907","2600801897","1738",,"6315","W OIL","550","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"7150","02-1999-7914","5909","2600801898","1740",,"1693","F/OIL","1100","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"7154","02-1999-7918","5913","2600803534","1744",,"6315","W OIL","2000","gal","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"7270","02-2000-0535","5997","2600803783","1764",,"6619","ZINC COMPOUNDS","432","lbs","WAT","Water","C"
"7375","02-2000-3015","6101","2600802375","1799",,"6624","WASTEWATER","1","mg","WAT","Water","C"
"7525","02-2000-4101","6251","2600802379","1810",,"2775","NITRATE COMPOUNDS: 95=64,750 & 96=35,913 =AMT","100663","lbs","AIR","Air","C"
"7530","02-2000-4110","6256","2600802383","1817",,"1165","COPPER","10","lbs","AIR","Air","C"
"7562","02-2000-7111","52845","2600811143","21614",,"7657",,"1200","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"7838","02-2000-8246","6564","2600804133","1863",,"6562","LEAD","9","mg","WAT","Water","C"
"8151","02-2000-9241","6877","2600802340","1877",,"4805","2-PROPENAMIDE  MEDIA (LAND/WATER/AIR)","1518542","lbs","AIR","Air","C"
"8196","02-2001-0810","6894","2600802341","1879",,"1929","GLYCOL ETHER","512","lbs","AIR","Air","C"
"8377","02-2001-3054","7060","2600802501","1915",,"3887","STORM","100","ppm","SWT","Water (navigable/surface)","C"
"8385","02-2001-3065","7068","2600803636","22686",,"6626",,"100","ft3","LDF","Landfill","C"
"8387","02-2001-3067","7070","2600806299","1922",,"4695","WW","1","mg","WAT","Water","C"
"8390","02-2001-3070","7073","2600803640","1928",,"6236","TSS","10","mg","WAT","Water","C"
"8448","02-2001-4201","7131","2600804950","1960",,"6617","NITRATE COMPOUNDS","25000","lbs","WAT","Water","C"
"8546","02-2001-8031","7229","2600801117","2010",,"6638","TURBIDITY","1","ft3","DWT","Water (drinking)","C"
"8552","02-2001-8037","7235","2600809160","2019",,"6639","MICROBIOLOGY","0","mg","DWT","Water (drinking)","C"
"8780","02-2002-3009","7437","2600809164","2028",,"6624","WASTEWATER","10","gal","SWT","Water (navigable/surface)","C"
"8882","02-2002-8030","7539","2600809184","2066",,"6639","MICROBIOLOGY","216","PEOPLE","DWT","Water (drinking)","C"
"14864","03-1990-0386","3400022456","3400017380","3400012886",,"10267",,"0","yd3","SIL","Soil","C"
"14864","03-1990-0386","3600038706","3600020661","3600014726",,"10267",,"0","yd3","GWT","Water (ground)","C"
"14864","03-1990-0386","3600038706","3600020661","3600014727",,"10281",,"0","yd3","GWT","Water (ground)","C"
"14864","03-1990-0386","3600237668","3600044133","3600031365",,"10282",,"0","yd3","SIL","Soil","C"
"14865","03-1990-0387","61360","2600807176","600002028",,"10285",,"0","yd3","GWT","Water (ground)","C"
"14865","03-1990-0387","61361","2600812505","600001880",,"10284",,"0","yd3","GWT","Water (ground)","C"
"14865","03-1990-0387","3600025016","3600013438","3600009889",,"8459",,"180000","yd3","GWT","Water (ground)","C"
"14867","03-1990-0389","61375","2600813762","600001265",,"2448",,"0","yd3","SIL","Soil","C"
"15002","03-1990-0526","3600237624","3600044148","3600031375",,"320002541",,"0","yd3","GWT","Water (ground)","C"
"15152","03-1991-0023","3000009248","3000009371","3000006500",,"10282",,"0","yd3","GWT","Water (ground)","C"
"15152","03-1991-0023","3400010270","3400008335","3400006053",,"10344",,"0","yd3","GWT","Water (ground)","C"
"15933","03-1992-0348","3600038577","3600020539","3600014674",,"2448",,"0","yd3","SIL","Soil","C"
"16417","03-1993-0417","9485","2600802120","2211",,"67","1,1,1-TRICHLOROETHANE","18","ppb","GWT","Water (ground)","C"
"16417","03-1993-0417","9486","2600802121","2227",,"93","1,1-DICHLOROETHANE","71","ppb","GWT","Water (ground)","C"
"16417","03-1993-0417","9487","2600800196","2243",,"2448","MERCURY","4","ppb","GWT","Water (ground)","C"
"16417","03-1993-0417","9487","2600800196","2245",,"4774","1,2-DICHLOROETHANE","25","ppb","GWT","Water (ground)","C"
"16826","03-1994-0330","9704","2600804198","2345",,"955","CFC",,"kg","AIR","Air","C"
"16981","03-1995-0131","54598","2600819609","27880",,"6352",,"725","lbs","SWT","Water (navigable/surface)","C"
"17056","03-1995-0208","9767","2600802400","2400",,"572","BARIUM","105","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17092","03-1995-0247","9783","2600805298","2417",,"5474","HYDROCHLORIC ACID",,"lbs","WAT","Water","C"
"17098","03-1995-0253","9787","2600805300","2422",,"5579","MBI","4536","kg","AIR","Air","C"
"17128","03-1995-0287","9796","2600805125","2438",,"8358","TETRACHLOROETHYLENE","162","mg","WAT","Water","C"
"17131","03-1995-0290","9798","2600805126","2440",,"2423","MANGANESE","50","lbs","AIR","Air","C"
"17135","03-1995-0294","61377","2600807181","600001938",,"10285",,"0","yd3","GWT","Water (ground)","C"
"17135","03-1995-0294","3400022745","3400017804","3400013201",,"12426",,"0","yd3","SIL","Soil","C"
"17455","03-1996-0339","10004","2600804409","2611",,"3173","PCB","280","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17544","03-1997-0043","10071","2600800355","2670",,"776","CADMIUM","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17546","03-1997-0045","10073","2600800357","2676",,"776","CADMIUM","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17547","03-1997-0046","10074","2600800358","2679",,"776","CADMIUM","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17559","03-1997-0058","10079","2600800873","2694",,"776","CADMIUM","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17573","03-1997-0072","10083","2600800876","2704",,"6562","LEAD","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17589","03-1997-0088","10093","2600804541","2735",,"6352","ZINC","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17591","03-1997-0090","10094","2600804542","2737",,"6562","LEAD","800","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"17618","03-1997-0118","10105","2600805498","2756",,"6161","TOLUENE","15000","lbs","AIR","Air","C"
"17653","03-1997-0156","10131","2600801002","2793",,"576","BARIUM (GW)","516","ppb","GWT","Water (ground)","C"
"17657","03-1997-0160","10135","2600801129","2807",,"6738","XYLENE","30000","lbs","AIR","Air","C"
"17667","03-1997-0170","10144","2600801133","2818",,"500","ASBESTOS","100","gal","SWT","Water (navigable/surface)","C"
"17953","03-1998-0032","10368","2600803809","2993",,"5007","CFC-12",,"lbs","AIR","Air","C"
"18158","03-1998-0246","3400022773","3600000083","3600000093",,"10345",,"0","yd3","GWT","Water (ground)","C"
"18158","03-1998-0246","3400022773","3600000083","3600000086",,"8459",,"594","yd3","GWT","Water (ground)","C"
"18158","03-1998-0246","3400022773","3600000083","3600000098",,"10282",,"0","yd3","GWT","Water (ground)","C"
"18158","03-1998-0246","3600336351","3600056249","3600041614",,"7153",,"12423","yd3","SIL","Soil","C"
"18166","03-1998-0255","10488","2600800900","3057",,"3930","SULFUR OXIDES","730","tons","AIR","Air","C"
"18283","03-1998-0376","10569","2600800596","3143",,"1966","GROUND OIL","3000","lbs","SWT","Water (navigable/surface)","C"
"18289","03-1998-0382","10573","2600800598","3147",,"2423","MANGANESE","100","lbs","AIR","Air","C"
"18319","03-1998-0412","44696","2600807905","15912",,"4210",,"3200","LBS/YR","WAT","Water","C"
"18319","03-1998-0412","44696","2600807905","15917",,"390",,"1600","LBS/YR","WAT","Water","C"
"18321","03-1998-0414","44124","2600808016","16073",,"2948",,"3000000","gal","WAT","Water","C"
"18374","03-1999-0003","10625","2600805093","3181",,"1012","CHROMIUM","63","lbs","AIR","Air","C"
"18423","03-1999-0052","3600038542","3600020528","3600014662",,"6725",,"676","yd3","SIL","Soil","C"
"18423","03-1999-0052","3600060939","3600028212","3600019734",,"10109",,"0","yd3","SIL","Soil","C"
"18518","03-1999-0154","10747","2600800909","3249",,"6562","LEAD","10","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"18518","03-1999-0154","10750","2600800910","3263",,"4871","ANTIMONY","5","ppm","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"18669","03-1999-0317","44321","2600810614","15788",,"6306",,"204","tons","AIR","Air","C"
"18842","03-2000-0100","10981","2600800648","3334",,"6589","CRUDE OIL","180000","gal","WAT","Water","C"
"19016","03-2000-0280","600004513","2600812652","600001941",,"11135",,"0","yd3","SIL","Soil","C"
"19016","03-2000-0280","3600060538","3600027738","3600019566",,"10282",,"0","yd3","GWT","Water (ground)","C"
"19147","03-2000-0416","47255","2600810581","18723",,"2817",,"42000","lbs","SWT","Water (navigable/surface)","C"
"19348","03-2000-0668","2600005959","2600823187","2600004122",,"6562",,"0","yd3","GWT","Water (ground)","C"
"19348","03-2000-0668","3600060572","3600027776","3600019587",,"6725",,"40","yd3","SIL","Soil","C"
"19348","03-2000-0668","3600060579","3600027785","3600019590",,"6725",,"1800","yd3","SIL","Soil","C"
"19752","03-2001-0407","11677","2600807941","17165",,"652",,"352","lbs","WAT","Water","C"
"19803","03-2002-0019","11704","2600809701","14765",,"6797",,"55000","lbs","WAT","Water","C"
"19853","03-2002-0070","45664","2600810990","16517",,"2885",,"260","PEOPLE","DWT","Water (drinking)","C"
"19964","03-2002-0184","600010934","2600815635","600007308",,"10358",,"58000000","PNDSYR","AIR","Air","C"
"21733","04-1996-0372","12952","2600802927","3866",,"375","AMMONIA","45359","kg","LIQ","Liquid","C"
"22025","04-1997-0113","13191","2600804551","3960",,"6619","ZINC COMPOUNDS","25000","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"22171","04-1997-0318","13329","2600804722","4017",,"3923","SULFUR DIOXIDE (SO2)","2000","lbs","AIR","Air","C"
"22441","04-1998-0059","13594","2600801751","4131",,"6126","TDI","250","lbs","AIR","Air","C"
"23036","04-1999-0135","14170","2600802000","4361",,"8418","CREOSOTE","250000","gal","GWT","Water (ground)","C"
"23036","04-1999-0135","14170","2600802000","4363",,"8418","CREOSOTE","7200","yd3","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"23155","04-1999-0268","14283","2600800625","4428",,"6161","TOLUENE","11000","lbs","AIR","Air","C"
"23347","04-1999-0486","44105","2600810202","15357",,"6562",,"2","tons","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"23506","04-2000-0101","14592","2600800664","4591",,"7003","PARTICULATE MATTER","1900","tons","AIR","Air","C"
"23533","04-2000-0128","3400017568","3400016926","3400012557",,"200001301",,"5300","LFT","WTL","Water (wetlands)","C"
"23575","04-2000-0171","14654","2600804289","4643",,"2787","NITRIC ACID","580","lbs","WAT","Water","C"
"27005","05-1988-0309","17382","3000010947","3000007745",,"10325",,"0","yd3","LAN","Land","C"
"27005","05-1988-0309","17382","3000010950","3000007760",,"6583",,"0","yd3","LAN","Land","C"
"27954","05-1992-0075","18043","2600804806","4808",,"375","AMMONIA",,"mg","WAT","Water","C"
"29206","05-1995-0192","18908","2600802466","5003",,"3923","SULFUR DIOXIDE (SO2)","594000","lbs","AIR","Air","C"
"29494","05-1995-0538","19146","2600805278","5076",,"5786","PAHS","2000","tons","SED","Water (sediment)","C"
"29530","05-1995-0581","19176","2600805280","5083",,"5914","PM PARTICULATES","245","ppm","AIR","Air","C"
"30205","05-1997-0237","19639","2600804146","5277",,"375","AMMONIA","97650","lbs","WAT","Water","C"
"30293","05-1997-0354","57920","2600809973","27600",,"832",,"108940","PNDSYR","SWT","Water (navigable/surface)","C"
"30361","05-1997-0435","19761","2600805486","5330",,"6236","TSS","43200","lbs","SWT","Water (navigable/surface)","C"
"30673","05-1997-0826","47001","2600808684","17595",,"3370",,"12000","LBS/YR","SWT","Water (navigable/surface)","C"
"30801","05-1998-0144","20151","2600804735","5563",,"618","BENZO (A) ANTHRACENE","50","yd3","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"31213","05-1998-0634","20491","2600801143","5702",,"553","AZOBENZENE","12000","mg","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"31213","05-1998-0634","20491","2600801143","5707",,"1631","ETHYLBENZENE","340","g","GWT","Water (ground)","C"
"31451","05-1999-0065","60170","2600814230","29976",,"3370",,"161","PNDSYR","SWT","Water (navigable/surface)","C"
"31839","05-1999-0533","49751","2600811677","19468",,"375",,"238","LBS/YR","SWT","Water (navigable/surface)","C"
"32048","05-1999-0765","600006127","2600812817","600005081",,"6562",,"123.47","PNDSYR","SWT","Water (navigable/surface)","C"
"32581","05-2000-0583","600006714","2600806399","600006289",,"905",,"18075020","PNDSYR","SWT","Water (navigable/surface)","C"
"32715","05-2001-0017","42622","2600811580","15475",,"5713",,"3000","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"32734","05-2001-0041","21466","2600811578","15473",,"5713",,"2000","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"33037","05-2001-0399","46453","2600806622","17456",,"5553",,"1875334","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"33189","05-2001-0562","43795","2600808762","16107",,"5033",,"15","tons","WAT","Water","C"
"33258","05-2001-0633","3600124584","3600038304","3600026680",,"6861",,"649831917","gal","SWT","Water (navigable/surface)","C"
"33383","05-2002-0030","21827","2600807448","15101",,"6663",,"30","tons","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"33419","05-2002-0066","42683","2600806192","14046",,"6581",,"7500","ft3","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"33443","05-2002-0093","49909","2600810271","19939",,"6738",,"0","yd3","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"34989","06-1990-0009","600005385","2600809950","600002772",,"6614",,"260000","yd3","LAN","Land","C"
"35288","06-1991-0107","23391","2600801906","6352",,"67","1,1,1-TRICHLOROETHANE","75","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"35386","06-1992-0039","23485","2600801907","6362",,"6562","LEAD",,"lbs","AIR","Air","C"
"35749","06-1994-0037","23806","2600801922","6416",,"603","BENZENE","1","tons","AIR","Air","C"
"35947","06-1995-0071","23992","2600802977","6484",,"6289","VOC","833","tons","AIR","Air","C"
"35996","06-1995-0122","24038","2600802983","6504",,"5865","PENTACHLORONITROBENZ","110","kg","LIQ","Liquid","C"
"36315","06-1996-0009","24318","2600804028","6598",,"5474","HYDROCHLORIC ACID","55","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"36705","06-1996-0418","24693","2600802912","6974",,"467","ARSENIC",,"kg","SED","Water (sediment)","C"
"36706","06-1996-0419","24694","2600800580","6982",,"6738","XYLENE","2159","kg","LIQ","Liquid","C"
"36706","06-1996-0419","24694","2600800580","6976",,"261","ACETONE","2159","kg","LIQ","Liquid","C"
"36732","06-1996-0445","24719","2600803497","7006",,"3923","SULFUR DIOXIDE (SO2)",,"ppm","AIR","Air","C"
"36998","06-1997-0167","24982","2600804680","7301",,"5070","COD","6059","lbs","WAT","Water","C"
"37006","06-1997-0175","24990","2600804684","7316",,"6236","TSS","1200","lbs","WAT","Water","C"
"37164","06-1997-0334","25144","2600803765","7455",,"6596","SALT WATER","600","DRUMS","WAT","Water","C"
"37218","06-1997-0388","25196","2600803771","7465",,"6236","TSS","17","mg","WAT","Water","C"
"37426","06-1997-0598","25403","2600811749","7615",,"6236","TSS","2000","lbs","WAT","Water","C"
"37466","06-1997-0638","25442","2600808834","7628",,"6236","TSS","2000","lbs","WAT","Water","C"
"37504","06-1997-0676","25480","2600806936","7651",,"6236","TSS","113","lbs","WAT","Water","C"
"37515","06-1997-0689","25489","2600809007","7656",,"261","ACETONE","75","lbs","LIQ","Liquid","C"
"37553","06-1997-0727","25527","2600809019","7692",,"6336","WASTE PAINT","4000","lbs","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"37610","06-1997-0785","25583","2600810735","7738",,"6236","TSS","2000","lbs","WAT","Water","C"
"37642","06-1997-0817","25614","2600810911","7770",,"4985","CBOD","500","lbs","WAT","Water","C"
"37665","06-1997-0840","25637","2600808414","7786",,"3923","SULFUR DIOXIDE (SO2)",,"ppm","AIR","Air","C"
"37665","06-1997-0840","25637","2600808414","7787",,"6296","VOCS",,"ppm","AIR","Air","C"
"37763","06-1998-0066","25720","2600801182","7869",,"1028","CHROMIUM CONTAMINATED SOIL","1489124","lbs","SOL","Soil (CERCLA and RCRA Corrective Action, TSCA PCBs, UST soil, UIC remedial activities)","C"
"37790","06-1998-0093","25747","2600801191","7898",,"1165","COPPER","1607","lbs","WAT","Water","C"
"37797","06-1998-0100","25754","2600803562","7909",,"5070","COD","208","lbs","WAT","Water","C"
"37924","06-1998-0228","25880","2600800413","8001",,"6596","SALT WATER","100","DRUMS","WAT","Water","C"
"37930","06-1998-0234","25886","2600800418","8009",,"695","BOD5","200","lbs","WAT","Water","C"
"38020","06-1998-0326","1800002074","2600820091","1800001417",,"10486",,"368","PNDSYR","SWT","Water (navigable/surface)","C"
"38032","06-1998-0338","25988","2600803714","8092",,"2737","NH3-N","1910","lbs","WAT","Water","C"
"38160","06-1998-0466","26116","2600802085","8250",,"2948","OIL AND GREASE (O & G)","10","lbs","WAT","Water","C"
"38173","06-1998-0481","26127","2600802090","8256",,"5696","NH3N","200","lbs","WAT","Water","C"
"38258","06-1998-0566","26210","2600801591","8386",,"2948","OIL AND GREASE (O & G)","3794","lbs","WAT","Water","C"
"38263","06-1998-0571","26215","2600801731","8397",,"5984","RESIDUAL CHLORINE","50","lbs","WAT","Water","C"
"38266","06-1998-0574","26218","2600801733","8400",,"6236","TSS","18762","lbs","WAT","Water","C"
"38317","06-1998-0625","26269","2600812358","8439",,"1466","DIOXANE","9","lbs","AIR","Air","C"
"38356","06-1998-0664","26308","2600803045","8453",,"6352","ZINC","3220","lbs","WAT","Water","C"
"38390","06-1998-0698","26342","2600803057","8467",,"4985","CBOD","563","lbs","WAT","Water","C"
"38540","06-1998-0850","26492","2600804081","8573",,"6236","TSS","16776","lbs","WAT","Water","C"
"38680","06-1998-0993","26626","2600807437","15080",,"6861",,"1200000000","gal","WAT","Water","C"
"38680","06-1998-0993","3400003981","3400008732","3400006493",,"6624",,"65000000","gal","SWT","Water (navigable/surface)","C"
"38683","06-1999-0001","26629","2600804099","8601",,"869","CERTAIN GLYCOL ETHERS","2385","lbs","AIR","Air","C"
"38708","06-1999-0028","26654","2600804237","8608",,"680","BOD","80","lbs","WAT","Water","C"
"38762","06-1999-0082","26705","2600804609","8642",,"695","BOD5","150","lbs","WAT","Water","C"
"38782","06-1999-0107","26725","2600804618","8658",,"5070","COD","2880","lbs","WAT","Water","C"
"38874","06-1999-0199","26817","2600803155","8717",,"5984","RESIDUAL CHLORINE","50","lbs","WAT","Water","C"
"38888","06-1999-0213","26831","2600802721","8734",,"3862","SPENT NITRIC ACID","220","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"38888","06-1999-0213","26831","2600802721","8735",,"6075","SPENT PLATING SOLUTION","4500","gal","LND","Land (includes RCRA waste, FIFRA pesticides, TSCA asbestos/PCBs)","C"
"38890","06-1999-0215","26833","2600802722","8739",,"6236","TSS","2155","lbs","WAT","Water","C"
"38910","06-1999-0235","26852","2600805445","8747",,"6596","SALT WATER","100","DRUMS","WAT","Water","C"
"38942","06-1999-0271","26879","2600805451","8756",,"680","BOD","50","lbs","WAT","Water","C"
"38951","06-1999-0280","26888","2600805457","8768",,"680","BOD","8300","lbs","WAT","Water","C"
"38952","06-1999-0281","26889","2600805458","8771",,"6236","TSS","2000","lbs","WAT","Water","C"
"39036","06-1999-0367","26974","2600802724","8842",,"928","CHLORINE","2200","lbs","AIR","Air","C"
"39081","06-1999-0412","27018","2600802728","8851",,"6589","CRUDE OIL","1806","gal","WAT","Water","C"
"39104","06-1999-0436","27040","2600802732","8856",,"6236","TSS","13419","lbs","WAT","Water","C"
"39128","06-1999-0460","27064","2600802738","8874",,"6589","CRUDE OIL","2940","gal","WAT","Water","C"
"39131","06-1999-0463","27067","2600802741","8877",,"6589","CRUDE OIL","84","gal","WAT","Water","C"
"39295","06-1999-0631","27231","2600800278","8921",,"6236","TSS","2000","lbs","WAT","Water","C"
"39296","06-1999-0632","27232","2600808020","8922",,"680","BOD","38","lbs","WAT","Water","C"
"39296","06-1999-0632","27232","2600808020","8923",,"6236","TSS","45","lbs","WAT","Water","C"
"39379","06-1999-0715","27315","2600805312","9006",,"680","BOD","17940","lbs","WAT","Water","C"
"39403","06-1999-0739","27339","2600805317","9017",,"5313","FECAL COLIFORM BACTERIA","3000","ml","WAT","Water","C"
"39465","06-1999-0801","27399","2600811601","9082",,"6236","TSS","17","lbs","WAT","Water","C"
"39479","06-1999-0815","27413","2600808333","9096",,"695","BOD5","195156","lbs","WAT","Water","C"
"39493","06-1999-0829","27427","2600811726","9110",,"4745","ZINC (FUME OR DUST)","6163","lbs","AIR","Air","C"
"39574","06-1999-0910","27506","2600808563","9133",,"1165","COPPER","1","lbs","WAT","Water","C"
"39588","06-1999-0924","27520","2600808576","9150",,"5677","NACL H2O (BRINE)","100","DRUMS","WAT","Water","C"
"39608","06-1999-0944","600001606","2600813114","600000744",,"10845",,"270000","PNDSYR","SWT","Water (navigable/surface)","C"
