"ACTIVITY_ID","CASE_NUMBER","FED_PENALTY","ST_LCL_PENALTY","TOTAL_SEP","COMPLIANCE_ACTION_COST","FEDERAL_COST_RECOVERY_AMT","STATE_LOCAL_COST_RECOVERY_AMT","PENALTY_COLLECTED_AMT"
"1800073666","03-2010-0104","0","0","0","3760",,,"0"
"1800081522","07-2010-0118","0","0","0","500",,,"0"
"1800081533","07-2010-0119","0","0","0","500",,,"0"
"1800082061","07-2010-0106","0","0","0","905000",,,"0"
"1800087350","04-2010-5005","500","0","0","17000",,,"500"
"1800009986","07-2009-0193","30000","0","0","21000",,,"30000"
"1800072405","08-2010-0026","0","0","0","200",,,"0"
"1800017011","06-2009-3630","195","0","0","100",,,"195"
"1800091829","09-2010-1006","1000","0","0","5000",,,"1000"
"1800068057","03-2010-0038","1680","0","0","1080",,,"0"
"1800069405","04-2010-9806","150","0","0","3100",,,"150"
"1800072461","09-2010-4050","900","0","0","0",,,"900"
"1800081286","04-2010-5129","105000","0","0","400000",,,"0"
"1800091703","03-2010-0186","0","0","0","0",,,"0"
"1800091845","06-2010-1276","0","0","0","5000",,,"0"
"1800082489","05-2010-0304","0","0","0","20000",,,"0"
"1800099672","07-2010-0200","0","0","0","0",,,"0"
"1800113338","06-2010-3308","225000","0","0","0",,,"225000"
"1800120625","03-2010-6045","0","0","0","2800",,,"0"
"1800104590","06-2010-4851","48741","0","0","0",,,"48741"
"1800104649","10-2010-0176","190","0","0","50",,,"190"
"158343","02-2005-0023","0","0","0","0",,,"0"
"1800103666","04-2010-2023","4316","0","16184","100",,,"4316"
"1800108621","09-2010-5056","19800","0","0","150",,,"19800"
"1800108710","03-2010-0257","15120","0","0","1000",,,"0"
"1800117718","02-2010-3045","0","0","0","49558.25",,,"0"
"1800096803","04-2010-5012","500","0","0","10488.9",,,"500"
"1800106481","05-2010-2007","300","0","0","0",,,"300"
"1800109152","06-2010-0312","0","0","0","1500",,,"0"
"1800094930","01-2010-0505","0","0","0","0",,,"0"
"1800095446","02-2010-3033","0","0","0","2000",,,"0"
"1800027083","09-2009-4040","3000","0","0","0",,,"3000"
"1800104290","04-2010-3036","1250","0","0","100",,,"1250"
"1800096287","07-2010-0178","1200","0","0","1000",,,"1200"
"1800104248","02-2010-2012","0","0","0","50000",,,"0"
"1800095479","08-2010-0076","0","0","0","95",,,"0"
"1800097915","04-2010-0814","0","0","0","5000",,,"0"
"1800098159","07-2010-0194","2467","0","0","0",,,"2467"
"1800104744","07-2010-0218","2600","0","0","500",,,"2600"
"1800105038","04-2010-0824","0","0","0","3000",,,"0"
"1800094932","01-2010-0506","0","0","0","0",,,"0"
"1800094938","01-2010-0507","0","0","0","0",,,"0"
"1800095666","08-2010-0078","0","0","0","20",,,"0"
"1800101021","09-2010-3001","0","0","0","0",,,"0"
"1800102067","02-2010-3038","0","0","0","8500",,,"0"
"1800103519","07-2010-0216","0","0","0","60000",,,"0"
"1800023761","01-2009-2512","10000","0","0","0",,,"0"
"1800104657","10-2010-0178","150","0","0","800",,,"150"
"1800104797","04-2010-4510","30000","0","0","0",,,"30000"
"1800097039","07-2010-0158","21124","0","0","500",,,"21124"
"1800097064","04-2010-4504","9000","0","0","0",,,"9000"
"1800097333","04-2010-3033","1500","0","0","0",,,"1500"
