"PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","AGENCY","ACTIVITY_TYPE_CODE","ENF_TYPE_CODE","ENF_TYPE_DESC","ACHIEVED_DATE","ENF_IDENTIFIER","STATUTE"
"ICIS","8029695","110000308257","EPA","AIF","NONC","Notice of Noncompliance Issued","09/25/2006","01-200002069","EPCRA"
"ICIS","1946590","110000308569","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018913","EPCRA"
"RCRAINFO","MAD066610585","110000310299","EPA","AIF","NOV","Notice of Violation","06/21/2005","01-100022158","RCRA"
"ICIS","3400026390","110000311948","EPA","AIF","NOV","Notice of Violation","07/19/2013","01-200087168","EPCRA"
"ICIS","8063564","110000312180","EPA","AIF","NOV","Notice of Violation","04/19/2006","01-100023003","CAA"
"RCRAINFO","NHD058537960","110000313697","EPA","AIF","NOV","Notice of Violation","01/29/2003","01-100018837","RCRA"
"RCRAINFO","NHD073984288","110000313704","EPA","AIF","NOV","Notice of Violation","12/23/2002","01-100018836","RCRA"
"ICIS","3400097197","110000314570","EPA","AIF","NONC","Notice of Noncompliance Issued","02/11/2015","01-200111812","CAA"
"ICIS","3400097196","110000314570","EPA","AIF","NONC","Notice of Noncompliance Issued","02/11/2015","01-200111812","CAA"
"ICIS","2566512","110000314954","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018914","EPCRA"
"RCRAINFO","CTD001159730","110000315864","EPA","AIF","NOV","Notice of Violation","12/23/2002","01-100018825","RCRA"
"RCRAINFO","CTD021816889","110000316248","EPA","AIF","NOV","Notice of Violation","02/26/2003","01-100018845","RCRA"
"ICIS","1400008101","110000317194","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","09/18/2008","01-200011435","TSCA"
"ICIS","10275","110000317684","EPA","AIF","NONC","Notice of Noncompliance Issued","02/19/2003","01-100017493","TSCA"
"TRIS","07005DRNNC94FAN","110000317951","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200047636","EPCRA"
"ICIS","25062","110000318184","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018927","EPCRA"
"ICIS","2855","110000318317","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","08/12/2011","02-200049577","FIFRA"
"TRIS","07080TVCNC110PM","110000319094","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200046505","EPCRA"
"TRIS","07081BGLWC74DIA","110000319129","EPA","AIF","NONC","Notice of Noncompliance Issued","04/01/2014","02-200096831","EPCRA"
"TRIS","07105CWCND185FO","110000319343","EPA","AIF","NONC","Notice of Noncompliance Issued","04/08/2014","02-200097204","EPCRA"
"TRIS","07305CRLXN230CU","110000319824","EPA","AIF","NONC","Notice of Noncompliance Issued","06/18/2013","02-200085121","EPCRA"
"ICIS","13944","110000320260","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018935","EPCRA"
"TRIS","07544KRKRC1EAST","110000320304","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2011","02-200046504","EPCRA"
"ICIS","2188872","110000321429","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018937","EPCRA"
"ICIS","2235560","110000322838","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018945","EPCRA"
"TRIS","11356NDSTR20451","110000323579","EPA","AIF","NONC","Notice of Noncompliance Issued","11/18/2025","02-200283245","EPCRA"
"TRIS","14006FLXVT1305E","110000326344","EPA","AIF","NONC","Notice of Noncompliance Issued","05/26/2016","02-200137853","EPCRA"
"TRIS","14012SSMRS7725L","110000326371","EPA","AIF","NONC","Notice of Noncompliance Issued","04/27/2012","02-200075374","EPCRA"
"TRIS","14107CWMCH1550B","110000326610","EPA","AIF","NONC","Notice of Noncompliance Issued","11/29/2012","02-200077350","EPCRA"
"RCRAINFO","NYD013508916","110000327619","EPA","AIF","NOV","Notice of Violation","09/02/2022","02-200261951","RCRA"
"ICIS","2235941","110000328262","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018948","EPCRA"
"ICIS","2659213","110000328921","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018950","EPCRA"
"RCRAINFO","PAD037247319","110000329056","EPA","AIF","NOV","Notice of Violation","11/04/2009","03-200029371","RCRA"
"RCRAINFO","PAD004341723","110000329207","EPA","AIF","NOV","Notice of Violation","04/02/2008","03-200008962","RCRA"
"RCRAINFO","PAD981037377","110000329396","EPA","AIF","NOV","Notice of Violation",,"03-200056070","RCRA"
"ICIS","3600170425","110000329467","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138198","FIFRA"
"RCRAINFO","PAD004498432","110000329467","EPA","AIF","NOV","Notice of Violation","06/27/2008","03-200009953","RCRA"
"ICIS","5870462","110000329680","EPA","AIF","NONC","Notice of Noncompliance Issued","11/07/2008","HQ-200011910","EPCRA"
"RCRAINFO","PAD004341558","110000329699","EPA","AIF","NOV","Notice of Violation","08/18/2005","03-100021674","RCRA"
"RCRAINFO","PAD004327987","110000329840","EPA","AIF","NOV","Notice of Violation","01/23/2007","03-200005264","RCRA"
"RCRAINFO","PAD004339297","110000329886","EPA","AIF","NOV","Notice of Violation","04/07/2009","03-200015204","RCRA"
"RCRAINFO","PAR000021618","110000330080","EPA","AIF","NOV","Notice of Violation","10/09/2006","03-200003107","RCRA"
"RCRAINFO","PAD004318788","110000330151","EPA","AIF","NOV","Notice of Violation","05/30/2003","03-100019148","RCRA"
"RCRAINFO","PAD004393468","110000330188","EPA","AIF","NOV","Notice of Violation","11/14/2005","03-100020762","RCRA"
"RCRAINFO","PAD112748017","110000330570","EPA","AIF","NOV","Notice of Violation","08/11/2004","03-100021080","RCRA"
"ICIS","31073","110000330776","EPA","AIF","NONC","Notice of Noncompliance Issued","01/17/2006","03-100022576","FIFRA"
"RCRAINFO","PAD004323796","110000331025","EPA","AIF","NOV","Notice of Violation","10/24/2006","03-200003302","RCRA"
"RCRAINFO","PAD004338091","110000331258","EPA","AIF","NOV","Notice of Violation","06/10/2005","03-100022097","RCRA"
"RCRAINFO","PAD005030812","110000331622","EPA","AIF","NOV","Notice of Violation","11/30/2007","03-200007494","RCRA"
"RCRAINFO","PAD005028642","110000331686","EPA","AIF","NOV","Notice of Violation","12/13/2004","03-100017474","RCRA"
"RCRAINFO","PAD074986647","110000332033","EPA","AIF","NOV","Notice of Violation","04/12/2002","03-100017535","RCRA"
"RCRAINFO","PAD005033055","110000332113","EPA","AIF","NOV","Notice of Violation","11/13/2008","03-200013570","RCRA"
"RCRAINFO","PAD089352983","110000332159","EPA","AIF","NOV","Notice of Violation","09/27/2004","03-100021235","RCRA"
"RCRAINFO","PAD001604693","110000332220","EPA","AIF","NOV","Notice of Violation","01/13/2012","03-200060359","RCRA"
"RCRAINFO","PAD043882323","110000332300","EPA","AIF","NOV","Notice of Violation","09/13/2012","03-200074592","RCRA"
"ICIS","1800036871","110000332649","EPA","AIF","NONC","Notice of Noncompliance Issued",,"03-200059509","FIFRA"
"RCRAINFO","PAD003026531","110000332916","EPA","AIF","NOV","Notice of Violation","09/17/2012","03-200075484","RCRA"
"RCRAINFO","PAD003026531","110000332916","EPA","AIF","NOV","Notice of Violation","09/17/2012","03-200075807","RCRA"
"RCRAINFO","PAD001643691","110000333416","EPA","AIF","NOV","Notice of Violation","01/23/2002","03-100018712","RCRA"
"RCRAINFO","PAD003028768","110000333826","EPA","AIF","NOV","Notice of Violation","04/10/2008","03-200008966","RCRA"
"ICIS","1800005731","110000334228","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","09/16/2009","03-200017375","CAA"
"ICIS","2382579","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"NCDB","I03#1998072283003 1","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"TRIS","17701LNRLT2121R","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"NCDB","C03#03-99-0121 (NT)","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"NCDB","C03#03-02-0103 (NT)","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"RCRAINFO","PAD002039436","110000334282","EPA","AIF","NONC","Notice of Noncompliance Issued","12/17/2001","03-100018180","EPCRA"
"RCRAINFO","PAD003046919","110000334291","EPA","AIF","NOV","Notice of Violation","11/20/2006","03-200004114","RCRA"
"RCRAINFO","PAD045388972","110000334503","EPA","AIF","NOV","Notice of Violation","09/22/2008","03-200010972","RCRA"
"RCRAINFO","PAD002136117","110000334843","EPA","AIF","NOV","Notice of Violation","08/14/2006","03-200001868","RCRA"
"RCRAINFO","PAD002390961","110000334932","EPA","AIF","NOV","Notice of Violation","10/20/2009","03-200027992","RCRA"
"RCRAINFO","PAD060493582","110000334950","EPA","AIF","NOV","Notice of Violation","09/17/2002","03-100018637","RCRA"
"RCRAINFO","PAR000030874","110000335389","EPA","AIF","NOV","Notice of Violation","08/17/2005","03-100021914","RCRA"
"RCRAINFO","PAR000509299","110000335469","EPA","AIF","NOV","Notice of Violation","01/26/2010","03-200032999","RCRA"
"RCRAINFO","PAD045389988","110000335469","EPA","AIF","NOV","Notice of Violation","01/26/2010","03-200033000","RCRA"
"ICIS","3600170413","110000335744","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138191","FIFRA"
"RCRAINFO","PAD069880029","110000335931","EPA","AIF","NOV","Notice of Violation","08/08/2008","03-200010848","RCRA"
"ICIS","1000003818","110000335968","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200137123","FIFRA"
"RCRAINFO","PAD002368892","110000336039","EPA","AIF","NOV","Notice of Violation","02/17/2009","03-200015544","RCRA"
"ICIS","7977","110000336324","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter",,"03-200099091","FIFRA"
"ICIS","7977","110000336324","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/29/2015","03-200138133","FIFRA"
"ICIS","600022511","110000336404","EPA","AIF","NONC","Notice of Noncompliance Issued",,"03-200017680","FIFRA"
"ICIS","3601907692","110000336440","EPA","AIF","NOV","Notice of Violation","07/01/2026","HQ-200292044","CAA"
"RCRAINFO","PAD990827610","110000336869","EPA","AIF","NOV","Notice of Violation","11/24/2010","03-200042610","RCRA"
"ICIS","2382810","110000337092","EPA","AIF","NONC","Notice of Noncompliance Issued","09/03/2002","03-100018184","EPCRA"
"TRIS","19154PPSCLROSSE","110000337092","EPA","AIF","NONC","Notice of Noncompliance Issued","09/03/2002","03-100018184","EPCRA"
"RCRAINFO","PAD987312949","110000337092","EPA","AIF","NONC","Notice of Noncompliance Issued","09/03/2002","03-100018184","EPCRA"
"ICIS","600005637","110000337519","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138207","FIFRA"
"RCRAINFO","PAD002353407","110000337608","EPA","AIF","NOV","Notice of Violation","08/17/2010","03-200042634","RCRA"
"RCRAINFO","PAD980550412","110000337653","EPA","AIF","NOV","Notice of Violation","12/12/2007","03-200007960","RCRA"
"RCRAINFO","PAD002277978","110000337797","EPA","AIF","NOV","Notice of Violation","06/24/2009","03-200016530","RCRA"
"RCRAINFO","DED980551261","110000338484","EPA","AIF","NOV","Notice of Violation","07/21/2010","03-200038797","RCRA"
"RCRAINFO","DED053304770","110000338581","EPA","AIF","NOV","Notice of Violation","02/18/2009","03-200014402","RCRA"
"RCRAINFO","DED984066118","110000338607","EPA","AIF","NOV","Notice of Violation","03/13/2001","03-100018970","RCRA"
"RCRAINFO","DED982676595","110000338803","EPA","AIF","NOV","Notice of Violation","07/17/2007","03-200007393","RCRA"
"RCRAINFO","DED000800284","110000338830","EPA","AIF","NOV","Notice of Violation","04/08/2009","03-200015552","RCRA"
"RCRAINFO","DED000800284","110000338830","EPA","AIF","NOV","Notice of Violation","12/23/2011","03-200069270","RCRA"
"RCRAINFO","DED002348845","110000339027","EPA","AIF","NOV","Notice of Violation","10/18/2010","03-200041113","RCRA"
"RCRAINFO","DED984075929","110000339054","EPA","AIF","NOV","Notice of Violation","08/07/2002","03-100017489","RCRA"
"RCRAINFO","DED984075929","110000339054","EPA","AIF","NOV","Notice of Violation","11/17/2003","03-100021193","RCRA"
"RCRAINFO","MDD003255163","110000339170","EPA","AIF","NOV","Notice of Violation","12/28/2009","03-200030259","RCRA"
"RCRAINFO","MDR000016303","110000339731","EPA","AIF","NOV","Notice of Violation","05/11/2011","03-200048932","RCRA"
"TRIS","21224BLTMR4200B","110000339875","EPA","AIF","NONC","Notice of Noncompliance Issued","09/30/2002","03-100018562","EPCRA"
"MD-EPSC","2053","110000339875","EPA","AIF","NONC","Notice of Noncompliance Issued","09/30/2002","03-100018562","EPCRA"
"ICIS","1972147","110000339875","EPA","AIF","NONC","Notice of Noncompliance Issued","09/30/2002","03-100018562","EPCRA"
"ICIS","7693","110000340104","EPA","AIF","NOV","Notice of Violation","06/25/2002","03-100017716","RCRA"
"RCRAINFO","MDD001890060","110000340275","EPA","AIF","NOV","Notice of Violation","03/15/2005","03-100021286","RCRA"
"RCRAINFO","MDD003071776","110000340391","EPA","AIF","NOV","Notice of Violation","07/17/2007","03-200006804","RCRA"
"RCRAINFO","MDD982567281","110000340417","EPA","AIF","NOV","Notice of Violation","05/17/2004","03-100020587","RCRA"
"RCRAINFO","MDD000221275","110000340505","EPA","AIF","NOV","Notice of Violation","06/28/2010","03-200037988","RCRA"
"RCRAINFO","MDD982364374","110000340578","EPA","AIF","NOV","Notice of Violation","07/29/2008","03-200010811","RCRA"
"RCRAINFO","MDD095415840","110000340667","EPA","AIF","NOV","Notice of Violation","11/23/2005","03-100022429","RCRA"
"RCRAINFO","VAD981034895","110000340890","EPA","AIF","NOV","Notice of Violation","12/28/2009","03-200030197","RCRA"
"ICIS","6076","110000340916","EPA","AIF","NOV","Notice of Violation","01/22/2004","03-200097453","CAA"
"RCRAINFO","VAR000004846","110000341229","EPA","AIF","NOV","Notice of Violation","10/03/2006","03-200002408","RCRA"
"RCRAINFO","VAD003444379","110000341522","EPA","AIF","NOV","Notice of Violation","07/09/2004","03-100017706","RCRA"
"RCRAINFO","VAD098444813","110000341808","EPA","AIF","NOV","Notice of Violation","05/30/2006","03-200002430","RCRA"
"RCRAINFO","VAD000737346","110000342013","EPA","AIF","NOV","Notice of Violation","01/02/2003","03-100018002","RCRA"
"RCRAINFO","VAD003174273","110000342193","EPA","AIF","NOV","Notice of Violation","12/21/2006","03-200004042","RCRA"
"RCRAINFO","VAD003177391","110000342200","EPA","AIF","NOV","Notice of Violation","07/25/2003","03-100019641","RCRA"
"RCRAINFO","VAD148239569","110000342228","EPA","AIF","NOV","Notice of Violation","07/10/2006","03-200001271","RCRA"
"RCRAINFO","VAD010070043","110000342335","EPA","AIF","NOV","Notice of Violation","05/22/2001","03-100017603","RCRA"
"RCRAINFO","VAD093561652","110000342451","EPA","AIF","NOV","Notice of Violation","06/16/2004","03-100020811","RCRA"
"RCRAINFO","VAD093561652","110000342451","EPA","AIF","NOV","Notice of Violation","06/16/2004","03-100020805","RCRA"
"RCRAINFO","VAD093561652","110000342451","EPA","AIF","NOV","Notice of Violation","10/17/2007","03-200007420","RCRA"
"RCRAINFO","VAD023690183","110000342460","EPA","AIF","NOV","Notice of Violation","02/18/2011","03-200048935","RCRA"
"RCRAINFO","VAD055046502","110000342497","EPA","AIF","NOV","Notice of Violation","06/27/2003","03-200007964","RCRA"
"RCRAINFO","VAD000621177","110000342530","EPA","AIF","NOV","Notice of Violation","01/20/2010","03-200032991","RCRA"
"RCRAINFO","VAD023720105","110000342567","EPA","AIF","NOV","Notice of Violation","12/09/2010","03-200043952","RCRA"
"RCRAINFO","VAD099605842","110000342601","EPA","AIF","NOV","Notice of Violation","01/20/2010","03-200033111","RCRA"
"RCRAINFO","VAD003121928","110000342665","EPA","AIF","NOV","Notice of Violation","12/07/2000","03-100017604","RCRA"
"RCRAINFO","VAD003121928","110000342665","EPA","AIF","NOV","Notice of Violation","03/10/2010","03-200034552","RCRA"
"RCRAINFO","VAD003122553","110000342889","EPA","AIF","NOV","Notice of Violation",,"03-200006802","RCRA"
"RCRAINFO","VAD003122553","110000342889","EPA","AIF","NOV","Notice of Violation","09/13/2012","03-200074687","RCRA"
"RCRAINFO","VAD089026785","110000343227","EPA","AIF","NOV","Notice of Violation","07/03/2003","03-100019764","RCRA"
"RCRAINFO","VAD046998191","110000343290","EPA","AIF","NOV","Notice of Violation","02/13/2006","03-100022417","RCRA"
"RCRAINFO","VAD003119385","110000343806","EPA","AIF","NOV","Notice of Violation","04/08/2009","03-200015205","RCRA"
"RCRAINFO","VAR000004481","110000343959","EPA","AIF","NOV","Notice of Violation","08/11/2009","03-200018113","RCRA"
"RCRAINFO","VAD044736726","110000344100","EPA","AIF","NOV","Notice of Violation","08/11/2009","03-200018152","RCRA"
"ICIS","3600184174","110000344226","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","08/02/2016","03-200140158","FIFRA"
"RCRAINFO","WVR000007807","110000344388","EPA","AIF","NOV","Notice of Violation","11/16/2007","03-200007492","RCRA"
"ICIS","2614809","110000344477","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018984","EPCRA"
"ICIS","2600044079","110000344477","EPA","AIF","NONC","Notice of Noncompliance Issued","03/01/2012","03-200060001","FIFRA"
"RCRAINFO","WVD076826015","110000344547","EPA","AIF","NOV","Notice of Violation","07/22/2003","03-100020593","RCRA"
"RCRAINFO","WVD988768198","110000344663","EPA","AIF","NOV","Notice of Violation","02/16/2006","03-200002431","RCRA"
"RCRAINFO","WVD061769592","110000344681","EPA","AIF","NOV","Notice of Violation","09/26/2006","03-200002428","RCRA"
"RCRAINFO","WVD041517830","110000344725","EPA","AIF","NOV","Notice of Violation","09/26/2006","03-200002432","RCRA"
"ICIS","2200014021","110000344743","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138201","FIFRA"
"ICIS","2129775","110000345671","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018985","EPCRA"
"ICIS","2147629","110000345671","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018985","EPCRA"
"RCRAINFO","NCD003232030","110000345760","EPA","AIF","NONC","Notice of Noncompliance Issued",,"HQ-100018337","EPCRA"
"NCDB","I04#199604035439  3","110000345760","EPA","AIF","NONC","Notice of Noncompliance Issued",,"HQ-100018337","EPCRA"
"TRIS","27260THLLL1717E","110000345760","EPA","AIF","NONC","Notice of Noncompliance Issued",,"HQ-100018337","EPCRA"
"ICIS","2130205","110000350398","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018986","EPCRA"
"TRIS","28658RCKWL1400B","110000351208","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021113","EPCRA"
"TRIS","29151VBWLL602FU","110000352323","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021118","EPCRA"
"ICIS","2456069","110000352528","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100019013","EPCRA"
"ICIS","1736405","110000355847","EPA","AIF","NONC","Notice of Noncompliance Issued","01/28/2002","HQ-100018715","EPCRA"
"TRIS","30060SLSTM161MA","110000355847","EPA","AIF","NONC","Notice of Noncompliance Issued","01/28/2002","HQ-100018715","EPCRA"
"ICIS","200000518","110000357694","EPA","AIF","NOV","Notice of Violation","07/05/2006","05-200000401","FIFRA"
"ICIS","1736673","110000358808","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100019016","EPCRA"
"TRIS","31539LCCNT400EF","110000360715","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021094","EPCRA"
"ICIS","1736889","110000361331","EPA","AIF","NONC","Notice of Noncompliance Issued","12/30/2001","HQ-100018724","EPCRA"
"TRIS","31902KNNTT12436","110000361331","EPA","AIF","NONC","Notice of Noncompliance Issued","12/30/2001","HQ-100018724","EPCRA"
"RMP","100000137247","110000361331","EPA","AIF","NONC","Notice of Noncompliance Issued","12/30/2001","HQ-100018724","EPCRA"
"TRIS","32205PTRCH2910W","110000361867","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021091","EPCRA"
"TRIS","32737SLVRS25311","110000362795","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021085","EPCRA"
"ICIS","2659275","110000364258","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018727","EPCRA"
"ICIS","1691963","110000365060","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018728","EPCRA"
"TRIS","33844PLKCN1010C","110000365060","EPA","AIF","NONC","Notice of Noncompliance Issued","02/25/2003","HQ-100018728","EPCRA"
"TRIS","34647CTRNY7200B","110000365685","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021093","EPCRA"
"TRIS","35010RBNSNROBIN","110000366005","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021077","EPCRA"
"TRIS","35631NCHLS1547H","110000367709","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021239","EPCRA"
"TRIS","36108WSNCD3224M","110000368673","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021078","EPCRA"
"RCRAINFO","TND095056966","110000371197","EPA","AIF","NONC","Notice of Noncompliance Issued","12/26/2001","HQ-100018757","EPCRA"
"TRIS","37303WCCMP2000T","110000371197","EPA","AIF","NONC","Notice of Noncompliance Issued","12/26/2001","HQ-100018757","EPCRA"
"ICIS","2475257","110000371197","EPA","AIF","NONC","Notice of Noncompliance Issued","12/26/2001","HQ-100018757","EPCRA"
"RCRAINFO","TND990657033","110000371197","EPA","AIF","NONC","Notice of Noncompliance Issued","12/26/2001","HQ-100018757","EPCRA"
"TRIS","37310LNCRPLOWER","110000371204","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021120","EPCRA"
"TRIS","37743SHNNN140TE","110000372515","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021116","EPCRA"
"RCRAINFO","TNR000001222","110000372999","EPA","AIF","NONC","Notice of Noncompliance Issued","12/27/2001","HQ-100018323","EPCRA"
"ICIS","2475413","110000372999","EPA","AIF","NONC","Notice of Noncompliance Issued","12/27/2001","HQ-100018323","EPCRA"
"TRIS","37821MRCNP355CH","110000372999","EPA","AIF","NONC","Notice of Noncompliance Issued","12/27/2001","HQ-100018323","EPCRA"
"TRIS","38104BTRCH1351W","110000373872","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021121","EPCRA"
"ICIS","2656799","110000374265","EPA","AIF","NONC","Notice of Noncompliance Issued","01/28/2002","HQ-100018334","EPCRA"
"ICIS","8028301","110000374372","EPA","AIF","NOV","Notice of Violation","02/24/2006","05-100022448","FIFRA"
"ICIS","7731841","110000376334","EPA","AIF","NOV","Notice of Violation","12/01/2011","05-200056758","FIFRA"
"TRIS","40033HNDRC655HE","110000377832","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021099","EPCRA"
"TRIS","40510SMCNS1801O","110000379395","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021102","EPCRA"
"TRIS","42420TKNRC3058O","110000381042","EPA","AIF","NONC","Notice of Noncompliance Issued","10/01/2004","04-100021096","EPCRA"
"RCRAINFO","OHD980587364","110000381471","EPA","AIF","NOV","Notice of Violation","05/11/2007","05-200006220","RCRA"
"RCRAINFO","OHD980587364","110000381471","EPA","AIF","NOV","Notice of Violation","04/17/2019","05-200172705","RCRA"
"RCRAINFO","OHD004294468","110000381630","EPA","AIF","NOV","Notice of Violation","10/06/2011","05-200058260","RCRA"
"RCRAINFO","OHD000608638","110000381792","EPA","AIF","NOV","Notice of Violation","04/23/2009","05-200016062","RCRA"
"RCRAINFO","OHD065991572","110000381827","EPA","AIF","NOV","Notice of Violation","01/08/2015","05-200109292","RCRA"
"RCRAINFO","OHD034909358","110000382121","EPA","AIF","NOV","Notice of Violation","01/17/2008","05-200007907","RCRA"
"RCRAINFO","OHD034909358","110000382121","EPA","AIF","NOV","Notice of Violation","11/28/2016","05-200145058","RCRA"
"RCRAINFO","OHD081281412","110000382185","EPA","AIF","NOV","Notice of Violation","10/25/2006","05-200003048","RCRA"
"RCRAINFO","OHD081292070","110000382309","EPA","AIF","NOV","Notice of Violation","04/29/2025","05-200276618","RCRA"
"ICIS","3600134368","110000382336","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","02/17/2016","05-200133544","FIFRA"
"RCRAINFO","OHD004288890","110000382434","EPA","AIF","NOV","Notice of Violation",,"05-200044732","RCRA"
"RCRAINFO","OHD180657975","110000382531","EPA","AIF","NOV","Notice of Violation","06/10/2011","05-200048368","RCRA"
"RCRAINFO","OHD180657975","110000382531","EPA","AIF","NOV","Notice of Violation","09/29/2025","05-200281805","RCRA"
"RCRAINFO","OHD004282976","110000382586","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","04/08/2024","05-200249121","RCRA"
"RCRAINFO","OHD981791759","110000382700","EPA","AIF","NOV","Notice of Violation","11/18/2015","05-200130962","RCRA"
"RCRAINFO","OHR000013979","110000382951","EPA","AIF","NOV","Notice of Violation","10/09/2009","05-200021590","RCRA"
"RCRAINFO","OHD005050273","110000383521","EPA","AIF","NOV","Notice of Violation","02/28/2007","05-200006103","RCRA"
"ICIS","6685622","110000383825","EPA","AIF","NONC","Notice of Noncompliance Issued","04/15/2005","05-100021289","EPCRA"
"RCRAINFO","OHD005041405","110000383950","EPA","AIF","NOV","Notice of Violation","06/13/2014","05-200100272","RCRA"
"RCRAINFO","OHD987023934","110000384012","EPA","AIF","NOV","Notice of Violation","01/25/2017","05-200146393","RCRA"
"ICIS","24682","110000384192","EPA","AIF","NONC","Notice of Noncompliance Issued","02/26/2013","05-200079650","CERCLA"
"RCRAINFO","OHD005041843","110000384236","EPA","AIF","NOV","Notice of Violation","10/24/2014","05-200105114","RCRA"
"ICIS","6667306","110000384254","EPA","AIF","NONC","Notice of Noncompliance Issued","06/10/2004","05-100020612","CERCLA"
"ICIS","2658606","110000384281","EPA","AIF","NOV","Notice of Violation","11/22/2011","05-200056576","FIFRA"
"ICIS","2658606","110000384281","EPA","AIF","NOV","Notice of Violation","11/01/2011","05-200054968","FIFRA"
"ICIS","2658606","110000384281","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2016","05-200135320","FIFRA"
"RCRAINFO","OHD045243706","110000384352","EPA","AIF","NOV","Notice of Violation","03/10/2009","05-200014319","RCRA"
"ICIS","3600139776","110000384539","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/11/2016","05-200134530","FIFRA"
"RCRAINFO","OHD987051984","110000384548","EPA","AIF","NOV","Notice of Violation","06/20/2011","05-200048600","RCRA"
"RCRAINFO","OHD004288056","110000384593","EPA","AIF","NOV","Notice of Violation","03/23/2015","05-200116614","RCRA"
"RCRAINFO","OHD981958614","110000384744","EPA","AIF","NOV","Notice of Violation","11/22/2013","05-200093572","RCRA"
"RCRAINFO","OHD981958614","110000384744","EPA","AIF","NOV","Notice of Violation","08/07/2025","05-200279847","RCRA"
"RCRAINFO","OHD003913308","110000384986","EPA","AIF","NOV","Notice of Violation","12/11/2019","05-200182131","RCRA"
"RCRAINFO","OHD004165924","110000384995","EPA","AIF","NOV","Notice of Violation","09/15/2022","05-200216314","RCRA"
