"PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","AGENCY","ACTIVITY_TYPE_CODE","ENF_TYPE_CODE","ENF_TYPE_DESC","ACHIEVED_DATE","ENF_IDENTIFIER","STATUTE"
"ICIS","3000001430","110024335487","EPA","AIF","NONC","Notice of Noncompliance Issued","07/17/2012","01-200074377","EPCRA"
"RCRAINFO","MAD095872032","110024349533","EPA","AIF","NOV","Notice of Violation","04/08/2003","01-100019898","RCRA"
"RCRAINFO","MAD985278886","110024354697","EPA","AIF","NOV","Notice of Violation","10/08/2003","01-100020548","RCRA"
"RCRAINFO","MAD981895832","110024354731","EPA","AIF","NOV","Notice of Violation","10/08/2003","01-100020395","RCRA"
"RCRAINFO","MA0570024026","110024378608","EPA","AIF","NOV","Notice of Violation","09/22/2008","01-200011000","RCRA"
"ICIS","600037533","110024382782","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","11/03/2011","08-200054609","CAA"
"ICIS","600037533","110024382782","EPA","AIF","NONC","Notice of Noncompliance Issued","03/21/2024","08-200248774","CAA"
"ICIS","1400019737","110024406310","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"RCRAINFO","ILR000144329","110024415738","EPA","AIF","NOV","Notice of Violation","04/09/2013","05-200084133","RCRA"
"RCRAINFO","ILD984806224","110024415774","EPA","AIF","NOV","Notice of Violation","04/13/2010","05-200036595","RCRA"
"RCRAINFO","ILD984806224","110024415774","EPA","AIF","NOV","Notice of Violation","07/30/2015","05-200127276","RCRA"
"RCRAINFO","ILD984806224","110024415774","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","01/27/2023","05-200220248","RCRA"
"RCRAINFO","ILD984806224","110024415774","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","08/15/2023","05-200227382","RCRA"
"RCRAINFO","MNR000107573","110024421561","EPA","AIF","NOV","Notice of Violation","06/07/2021","05-200198004","RCRA"
"ICIS","600013672","110024426708","EPA","AIF","NONC","Notice of Noncompliance Issued","03/08/2007","05-200005606","EPCRA"
"ICIS","1400019743","110024431122","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"RCRAINFO","WIR000124735","110024434806","EPA","AIF","NOV","Notice of Violation","07/27/2026","05-200292548","RCRA"
"ICIS","3400084927","110024437929","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","07/28/2015","03-200138194","FIFRA"
"ICIS","1400019739","110024439071","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"ICIS","1400019728","110024439124","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"ICIS","1400019748","110024439188","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"RCRAINFO","IAR000505891","110024442548","EPA","AIF","NOV","Notice of Violation","09/10/2007","07-200007959","RCRA"
"TRIS","14075HMBRG3949J","110024442637","EPA","AIF","NONC","Notice of Noncompliance Issued","06/03/2014","02-200099737","EPCRA"
"RCRAINFO","MIK735636813","110024443770","EPA","AIF","NOV","Notice of Violation",,"05-200025150","RCRA"
"RCRAINFO","ILR000102988","110024445340","EPA","AIF","NOV","Notice of Violation","09/19/2006","05-200001887","RCRA"
"ICIS","1400019752","110024446081","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"ICIS","1400019755","110024446090","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"ICIS","1400019729","110024446866","EPA","AIF","LOVWL","Letter of Violation/ Warning Letter","03/30/2009","HQ-200014791","CAA"
"ICIS","6386206","110024448196","EPA","AIF","NOV","Notice of Violation","04/06/2004","08-100020412","FIFRA"
"ICIS","7825140","110024448784","EPA","AIF","NONC","Notice of Noncompliance Issued","11/14/2016","02-200143675","TSCA"
"ICIS","600022433","110024449612","EPA","AIF","NONC","Notice of Noncompliance Issued","07/07/2005","07-200006201","TSCA"
