"ACTIVITY_ID","CASE_NUMBER","RELIEF_CODE","RELIEF_DESC"
"3602244788","09-2020-0607","PEN","Penalty"
"3602294359","09-2020-0608","PEN","Penalty"
"3602294380","09-2020-0609","PEN","Penalty"
"3602138905","09-2020-0618","PEN","Penalty"
"3602139078","09-2020-0619","PEN","Penalty"
"3602250680","09-2020-0639","PEN","Penalty"
"3602272228","09-2020-0643","PEN","Penalty"
"3602272181","09-2020-0647","PEN","Penalty"
"3602268914","09-2020-0652","PEN","Penalty"
"3602298411","09-2020-0659","PEN","Penalty"
"3602244802","09-2020-1050","PEN","Penalty"
"3602060580","09-2020-1500","INJ","Injunctive Relief"
"3602060604","09-2020-1501","INJ","Injunctive Relief"
"3602267191","09-2020-1505","PEN","Penalty"
"3602108398","09-2020-1511","PEN","Penalty"
"3602282101","09-2020-1522","PEN","Penalty"
"3602288537","09-2020-1548","PEN","Penalty"
"3602282276","09-2020-1549","PEN","Penalty"
"3602032295","09-2020-2001","INJ","Injunctive Relief"
"3602135624","09-2020-2016","PEN","Penalty"
"3602306959","09-2020-2060","PEN","Penalty"
"3602173614","09-2020-2500","CRA","Cost Recovery"
"3602173715","09-2020-2502","CRA","Cost Recovery"
"3602290483","09-2020-2503","CRA","Cost Recovery"
"3602136357","09-2020-3507","PEN","Penalty"
"3602135330","09-2020-3517","PEN","Penalty"
"3602296367","09-2020-3556","PEN","Penalty"
"3602294419","09-2020-3558","PEN","Penalty"
"3602298648","09-2020-3574","PEN","Penalty"
"3602108471","09-2020-4002","PEN","Penalty"
"3602108480","09-2020-4006","PEN","Penalty"
"3602108554","09-2020-4012","PEN","Penalty"
"3602108570","09-2020-4014","PEN","Penalty"
"3602229467","09-2020-4037","PEN","Penalty"
"3602255683","09-2020-4371","PEN","Penalty"
"3602084600","09-2020-5008","PEN","Penalty"
"3602108550","09-2020-5010","PEN","Penalty"
"3602285914","09-2020-5066","PEN","Penalty"
"3602290365","09-2020-5068","PEN","Penalty"
"3602305675","09-2020-5075","PEN","Penalty"
"3602133521","09-2020-5501","PEN","Penalty"
"3602297539","09-2020-6001","PEN","Penalty"
"3602056153","09-2020-6004","PEN","Penalty"
"3602114335","09-2020-6501","PEN","Penalty"
"3602087954","09-2020-6503","PEN","Penalty"
"3602255024","09-2020-6532","PEN","Penalty"
"3602306386","09-2020-6551","PEN","Penalty"
"3602108548","09-2020-7009","PEN","Penalty"
"3602292387","09-2020-7565","PEN","Penalty"
"3602322910","09-2021-0005","PEN","Penalty"
"3602424851","09-2021-0007","PEN","Penalty"
"3602365010","09-2021-0011","PEN","Penalty"
"3602367881","09-2021-0016","PEN","Penalty"
"3602406861","09-2021-0024","PEN","Penalty"
"3602368155","09-2021-0601","PEN","Penalty"
"3602485754","09-2021-0605","PEN","Penalty"
"3602702860","09-2021-0606","PEN","Penalty"
"3602391586","09-2021-1008","PEN","Penalty"
"3602688792","09-2021-1009","PEN","Penalty"
"3602412044","09-2021-1027","PEN","Penalty"
"3602384277","09-2021-1503","PEN","Penalty"
"3602374953","09-2021-1504","INJ","Injunctive Relief"
"3602384398","09-2021-1505","PEN","Penalty"
"3602364240","09-2021-1507","PEN","Penalty"
"3602364466","09-2021-1508","PEN","Penalty"
"3602364793","09-2021-1509","PEN","Penalty"
"3602387130","09-2021-1510","PEN","Penalty"
"3602398859","09-2021-1511","PEN","Penalty"
"3602696814","09-2021-1512","PEN","Penalty"
"3602711503","09-2021-1513","PEN","Penalty"
"3602756152","09-2021-2001","PEN","Penalty"
"3602844442","09-2021-2500","CRA","Cost Recovery"
"3602844623","09-2021-2501","CRA","Cost Recovery"
"3602844637","09-2021-2502","CRA","Cost Recovery"
"3602844644","09-2021-2503","CRA","Cost Recovery"
"3602866707","09-2021-2504","INJ","Injunctive Relief"
"3602866726","09-2021-2505","CRA","Cost Recovery"
"3602866726","09-2021-2505","INJ","Injunctive Relief"
"3602866748","09-2021-2506","CRA","Cost Recovery"
"3602364248","09-2021-3501","PEN","Penalty"
"3602364275","09-2021-3502","INJ","Injunctive Relief"
"3602700517","09-2021-3504","PEN","Penalty"
"3602702771","09-2021-3505","PEN","Penalty"
"3602748063","09-2021-3507","PEN","Penalty"
"3602834907","09-2021-3515","PEN","Penalty"
"3602434077","09-2021-4031","PEN","Penalty"
"3602739654","09-2021-4041","PEN","Penalty"
"3602821944","09-2021-4056","PEN","Penalty"
"3602801137","09-2021-4057","PEN","Penalty"
"3602801124","09-2021-4064","PEN","Penalty"
"3602832574","09-2021-4073","PEN","Penalty"
"3602384384","09-2021-5018","PEN","Penalty"
"3602766491","09-2021-5052","PEN","Penalty"
"3602780071","09-2021-5058","PEN","Penalty"
"3602780029","09-2021-5059","PEN","Penalty"
"3602780105","09-2021-5061","PEN","Penalty"
"3602840971","09-2021-5069","PEN","Penalty"
"3602840986","09-2021-5075","PEN","Penalty"
"3602400303","09-2021-6513","PEN","Penalty"
"3602697973","09-2021-6529","PEN","Penalty"
"3602821881","09-2021-6554","PEN","Penalty"
"3602305592","09-2021-6557","PEN","Penalty"
"3602434073","09-2021-7030","PEN","Penalty"
"3602439430","09-2021-7033","PEN","Penalty"
"3602739709","09-2021-7045","PEN","Penalty"
"3602838300","09-2021-7062","PEN","Penalty"
"3602367990","09-2021-7517","PEN","Penalty"
"3602398971","09-2021-7523","PEN","Penalty"
"3602739638","09-2021-7544","PEN","Penalty"
"3602767184","09-2021-7545","PEN","Penalty"
"3602824089","09-2021-7568","PEN","Penalty"
"3602898253","09-2022-0002","PEN","Penalty"
"3602893251","09-2022-0009","PEN","Penalty"
"3603092230","09-2022-0045","PEN","Penalty"
"3603295097","09-2022-0066","PEN","Penalty"
"3603345593","09-2022-0076","PEN","Penalty"
"3602955640","09-2022-1505","PEN","Penalty"
"3603262017","09-2022-1507","PEN","Penalty"
"3602976795","09-2022-2501","INJ","Injunctive Relief"
"3602977993","09-2022-2502","INJ","Injunctive Relief"
"3603060812","09-2022-2503","CRA","Cost Recovery"
"3603060812","09-2022-2503","INJ","Injunctive Relief"
"3603364452","09-2022-2504","CRA","Cost Recovery"
"3603385299","09-2022-2505","CRA","Cost Recovery"
"3602891057","09-2022-5001","PEN","Penalty"
"3603282272","09-2022-5004","PEN","Penalty"
"3603282308","09-2022-5005","PEN","Penalty"
"3602917624","09-2022-5013","PEN","Penalty"
"3602995866","09-2022-5023","PEN","Penalty"
"3603054084","09-2022-5032","PEN","Penalty"
"3603070074","09-2022-5035","PEN","Penalty"
"3603083285","09-2022-5036","PEN","Penalty"
"3603345608","09-2022-5067","PEN","Penalty"
"3603371434","09-2022-5069","PEN","Penalty"
"3603364104","09-2022-5072","PEN","Penalty"
"3603363992","09-2022-5073","PEN","Penalty"
"3603366681","09-2022-5084","PEN","Penalty"
"3602875137","09-2022-6000","INJ","Injunctive Relief"
"3603031147","09-2022-6006","INJ","Injunctive Relief"
"3603049333","09-2022-6008","INJ","Injunctive Relief"
"3603357944","09-2022-6010","INJ","Injunctive Relief"
"3603357928","09-2022-6011","INJ","Injunctive Relief"
"3603069895","09-2022-6502","INJ","Injunctive Relief"
"3603256436","09-2022-6503","PEN","Penalty"
