"ACTIVITY_ID","CASE_NUMBER","RELIEF_CODE","RELIEF_DESC"
"54180","10-1990-0001","IRA","Injunctive Remedial Action (CERCLA)"
"54181","10-1990-0002","IRA","Injunctive Remedial Action (CERCLA)"
"54181","10-1990-0002","IRD","Injunctive Remedial Design (CERCLA)"
"54181","10-1990-0002","OCR","Other Cost Recovery (CERCLA)"
"54184","10-1990-0005","INJ","Injunctive Relief"
"54184","10-1990-0005","PEN","Penalty"
"54186","10-1990-0009","INJ","Injunctive Relief"
"54186","10-1990-0009","PEN","Penalty"
"54188","10-1990-0018","CRR","Cost Recovery Removal (CERCLA)"
"54189","10-1990-0019","OCR","Other Cost Recovery (CERCLA)"
"54190","10-1990-0020","CRA","Cost Recovery"
"54190","10-1990-0020","CRD","Cost Recovery Remedial Design (CERCLA)"
"54190","10-1990-0020","IRA","Injunctive Remedial Action (CERCLA)"
"54190","10-1990-0020","IRD","Injunctive Remedial Design (CERCLA)"
"54192","10-1990-0022","CRA","Cost Recovery"
"54192","10-1990-0022","CRD","Cost Recovery Remedial Design (CERCLA)"
"54192","10-1990-0022","IRA","Injunctive Remedial Action (CERCLA)"
"54192","10-1990-0022","IRD","Injunctive Remedial Design (CERCLA)"
"54192","10-1990-0022","OCR","Other Cost Recovery (CERCLA)"
"54193","10-1990-0023","INJ","Injunctive Relief"
"54193","10-1990-0023","PEN","Penalty"
