"ACTIVITY_ID","CASE_NUMBER","REGIONAL_DOCKET_NMBR"
"9286","03-1981-0313","03-87-006VS"
"9287","03-1981-0314","03-87-007VS"
"3872","02-1990-0139","90-0221"
"10835","03-1986-0671","03-86-0088NT"
"7447","02-2000-3095","CWA-02-2000-3095"
"7448","02-2000-3097","CWA-02-2000-3097"
"7449","02-2000-3098","CWA-02-2000-3098"
"7450","02-2000-3099","CWA-02-2000-3099"
"7451","02-2000-3100","CWA-02-2000-3100"
"7842","02-2000-8250","SDWA-02-2000-8250"
"7843","02-2000-8251","SDWA-02-2000-8251"
"7844","02-2000-8252","SDWA-02-2000-8252"
"7845","02-2000-8253","SDWA-02-2000-8253"
"7846","02-2000-8254","SDWA-02-2000-8254"
"7847","02-2000-8255","SDWA-02-2000-8255"
"7848","02-2000-8256","SDWA-02-2000-8256"
"7849","02-2000-8257","SDWA-02-2000-8257"
"7850","02-2000-8258","SDWA-02-2000-8258"
"13142","03-1989-0305","03-89-0151NT"
"13143","03-1989-0306","03-89-0152NT"
"9290","03-1981-0317","III-1987-008DS"
"9292","03-1981-0319","III-1987-010DS"
"9293","03-1981-0320","III-1987-011DS"
"9294","03-1981-0321","III-1987-012DS"
"9295","03-1981-0322","III-84-00-DC"
"9296","03-1981-0323","III-84-02-DC"
"1393","01-2000-0208","1-2000-0033"
"1572","01-2001-0123","CAA-1-2001-0015"
"4782","02-1993-0149","95-CV-0012"
"4790","02-1993-0159","93-0114"
"4793","02-1993-0162","93-0105"
"4676","02-1993-0036","93-0302"
"503","01-1996-0073","96-16"
"504","01-1996-0074","96-11"
"510","01-1996-0080","CWA-2-I-96-1052"
"512","01-1996-0082","97-14"
"514","01-1996-0084","96-07"
"515","01-1996-0085","96-08"
"517","01-1996-0087","96-25"
"9342","03-1981-0370","III-86-11-DC"
"9343","03-1981-0371","III-86-12-DC"
"9344","03-1981-0372","III-86-13-DC"
"9345","03-1981-0373","III-86-14-DC"
"9346","03-1981-0374","III-86-15-DC"
"9347","03-1981-0375","III-86-16-DC"
"600027895","03-2007-0038","CAA-03-2007-0038"
"600027945","03-2007-0071","RCRA-03-2007-0071"
"600028195","06-2007-3524","06-2007-3524"
