"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","STATE_LOCAL_PENALTY_AMT","COST_RECOVERY_AMT","FED_PENALTY","COMPLIANCE_ACTION_COST","SEP_COST","PENALTY_COLLECTED_AMT"
"122795","05-2004-9003","51631","0","0","0","0",,"0"
"137759","03-2005-0078","56139",,"0","0","500",,
"137760","03-2005-0077","54702",,"0","0","6054",,
"122881","08-2004-0135","51651",,"0","0","0",,
"122887","08-2004-0136","51656",,"0","2235","1000",,"2235"
"124479","10-2004-0195","51933",,"0","0","3000",,
"124480","10-2004-0196","52348",,"0","0","800",,
"124483","06-2004-4532","52444",,"0","500","3000",,"500"
"124485","06-2004-4533","52967",,"0","500","2400",,"500"
"120695","07-2004-0187","54590",,"0","0","50",,"0"
"120696","07-2004-0186","52209",,"0","0","500",,"0"
"120697","08-2004-0109","51124",,"75000","0","0",,
"120705","02-2004-0922","51126",,"0","0","100",,
"120706","02-2004-0923","51127",,"0","0","200",,
"120710","08-2004-0110","51128",,"0","0","50707",,
"120712","06-2004-2219","51676",,"0","5000","0",,"5000"
"120714","05-2004-0046","51129",,"0","11875","0",,
"120716","05-2004-0047","51130",,"0","14673","0",,
"120717","02-2004-0801","51150",,"0","0","600",,
"120724","04-2004-9826","51131",,"0","600","500",,
"120726","HQ-2004-5022","51132",,"0","0","0",,
"120729","04-2004-9827","51133",,"0","300","3000",,
"120745","04-2004-0755","51134",,"0","0","800",,
"120751","04-2004-0754","51135",,"0","0","800",,
"120752","04-2004-1005","51136",,"0","1244","300",,"1244"
"120757","02-2004-7104","55277",,"0","37000","185000","141000",
"120759","04-2004-5036","51138",,"0","500","11620",,
"120760","07-2004-0190","51140",,"0","500","1750",,"500"
"120761","04-2004-5034","51139",,"0","3000","33578",,
"120765","07-2004-0191","51142",,"0","2500","1750",,"2500"
"164624","10-2006-0036","60083",,"0","5000","2000",,"5040"
"164625","10-2006-0055","59474",,"0","33000","5000",,"33000"
"164627","10-2006-0013","60173",,"0","9000","5100",,"9000"
"164628","10-2006-0030","59469",,"0","750","250",,"750"
"93214","03-2003-0138","45398",,"0","7000","3000",,
"93226","03-2003-0158","45400",,"0","0","0",,
"93228","06-2003-0501","45402",,"0","4630","0",,"4630"
"93236","06-2003-4533","45405",,"0","500","0",,"500"
"93238","06-2003-4534","45406",,"0","500","0",,"500"
"93244","06-2003-4535","45407",,"0","500","0",,"500"
"93246","06-2003-4536","45408",,"0","500","0",,"500"
"154156","03-2005-0212","58284",,"0","0","0",,
"154157","03-2005-0213","57648",,"0","3300","0",,
"154158","03-2005-0214","57651",,"0","0","0",,
"154159","03-2005-0215","57649",,"0","3300","0",,
"154160","03-2005-0216","60220",,"0","0","0",,"0"
"149401","07-2005-0262","58044",,"0","100","1500",,"100"
"149402","05-2005-3617","59453",,"0","12400","0","35272","12400"
"149404","05-2005-0089","56295",,"0","4400","100",,"4400"
"119680","06-2004-1131","51097",,"0","0","6000",,
"170936","05-2006-3676","60336",,"0","11262.4","0","14911",
"170961","10-2006-0248","61489",,"0","4000","6700",,"4000"
"170431","02-2006-8002","60265",,"0","0","500300",,
"170453","06-2005-5112","60268",,"0","300","0",,"300"
"165532","02-2006-3005","59480",,"0","0","13500",,
"165533","02-2006-3006","59481",,"0","0","14000",,
"165534","02-2006-3012","59482",,"0","0","5000",,
"165535","02-2006-3401","59487",,"0","25000","0","200000",
"165537","02-2006-3303","59488",,"0","4100","10000",,
"165539","02-2006-3015","59489",,"0","0","1000",,
"165540","02-2006-3007","59490",,"0","0","500000",,
"165543","02-2006-3027","59491",,"0","0","30300",,
"165548","04-2005-5070","59500",,"0","5000","527500",,
"165551","02-2006-3014","59492",,"0","0","1000",,
"173132","08-2006-0064","60615",,"0","0","355000",,
"173151","04-2006-1764","60616",,"0","0","0",,
"173167","04-2006-9115","60763",,"0","0","0",,
"173170","02-2006-4204","60620",,"0","3302","5079",,
"173171","08-2006-0068","60621",,"0","0","204300",,
"173173","08-2006-0067","60622",,"0","0","0",,
"173177","04-2005-9115","60625",,"0","0","0",,
"173179","04-2005-9113","60627",,"0","0","0",,
"173180","08-2006-0069","60626",,"0","500","3930",,"500"
"166946","10-2006-0103","59730",,"0","0","4000000",,
"166963","01-2006-2021","60071",,"0","0","3000",,
"168321","04-2006-1752","59916",,"0","0","0",,
"168322","05-2006-4906","59917",,"0","0","0",,
"168326","04-2005-9124","59918",,"0","0","0",,
"170200","05-2006-3951","60231",,"0","0","0",,
"175830","09-2006-0084","60986",,"0","0","600000",,
"160591","09-2005-0182","58597",,"0","0","1090",,"0"
"160593","06-2005-1331","58595",,"0","0","1000",,
"160594","07-2005-0428","58596",,"0","0","100000",,
"160596","06-2005-1332","58598",,"0","0","1000",,
"160601","06-2005-1334","58599",,"0","0","1000",,
"160604","06-2005-1335","58600",,"0","0","1000",,
"142993","07-2005-0195","55294",,"0","0","0",,
"142997","02-2005-7916","55296",,"0","300","100",,
"142214","03-2005-0120","55036",,"0","0","14000",,
"145168","HQ-2003-6002","55653",,"0","71127","159491",,"71127"
"145188","04-2005-2629","55655",,"0","99000","0",,"99000"
"145200","08-2005-0064","55958",,"0","2500","1000",,"2500"
"147049","04-2003-9922","55973",,"0","0","500",,
"147059","05-2005-0071","57440",,"0","2436","0",,"2436"
"147062","03-2005-0155","56298",,"0","0","35000",,
"147063","03-2005-0156","55971",,"0","4000","0",,
"147072","03-2005-0152","57199",,"0","37510","15000",,
"147073","03-2005-0157","57821",,"0","3960","6500",,
"147075","03-2005-0159","58978",,"0","0","0",,
"142833","06-2005-1729","58703",,"0","4125","500","16500","4125"
"142838","07-2005-0182","55234",,"0","0","980.38",,
"142839","04-2005-3011","55233",,"0","5940","8000",,"5940"
"142842","07-2005-0183","55237",,"0","0","27840",,
"142847","WF-2005-0002","55239",,"0","8062","54704",,"8062"
"142848","04-2005-1512","55240",,"0","22808","0",,"22808"
"142851","04-2005-2626","55241",,"0","12155","0",,"12155"
"142852","06-2004-3332","57676",,"0","2500","100",,"2500"
"142853","04-2005-3759","55245",,"0","0","5853000",,
"142855","04-2005-3758","55246",,"0","0","4579000",,
"142857","04-2005-3757","55248",,"0","0","6587000",,
"142867","02-2005-7104","59506",,"0","5000","3000",,
"142872","02-2005-0907","55254",,"0","0","4700",,
"142880","09-2005-0042","55260",,"0","0","282000",,
"142881","09-2005-0043","55261",,"0","650","5000",,"650"
"142882","09-2005-0044","55262",,"0","1100","5000",,"1100"
"142884","06-2005-6009","55766",,"0","440","100",,"440"
"142885","06-2005-6010","56198",,"0","1650","100",,"1650"
"142888","07-2005-0188","55263",,"0","2300","2800",,"2300"
"142894","07-2005-0189","55264",,"0","1300","2800",,"1300"
"142898","07-2005-0191","55265",,"0","650","1750",,"650"
"142900","08-2005-0057","55266",,"0","0","935",,
"142901","07-2005-0190","55267",,"0","1500","1000",,"1500"
"142904","07-2005-0186","55268",,"0","11500","0",,"11500"
"142907","04-2004-9989","55269",,"0","0","0",,
"142908","08-2005-0059","55893",,"0","5850","0",,"5850"
"142917","07-2005-0184","55271",,"0","6575","0",,"6575"
"142918","07-2005-0185","55272",,"0","11775","0",,"11817.58"
"142920","07-2005-0187","55274",,"0","9950","0",,"9950"
"142933","06-2005-0521","55276",,"0","19250","50",,"19250"
"142936","06-2005-0516","55278",,"0","5000","50",,"5000"
